action,destination,destination_liquid,destination_liquid_after,destination_liquid_before,destination_volume_ul,final_destination_volume_ul,flow_rate_ul_s,liquid,location,location_total_volume_ul,message,mix_repetitions,mix_volume_ul,mode,num_samples,pipette,position,rep,sample_index,sample_source,sample_volume_ul,source,source_remaining_ul,status,step,timestamp,total_reps,volume_ul,water_source,water_volume_ul,x_mm,y_mm,z_mm,z_offset_mm
DISPENSE,B3,,sample_3,empty,10.0,,5.0,,,,,,,,,,,,,,,,,,42,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,C3,,,,,,,,,,,,,,,,43,2026-04-27T15:36:37,,,,,28.0,28.0,6.0,1.0
ASPIRATE,,,,,,,5.0,water,,,,,,,,,,,,,,C3,110.0,,44,2026-04-27T15:36:37,,90.0,,,,,,
MOVE_TO,,,,,,,,,B3,,,,,,,,,,,,,,,,45,2026-04-27T15:36:37,,,,,28.0,19.0,6.0,1.0
DISPENSE,B3,,mixture(sample_3+water),sample_3,100.0,,5.0,,,,,,,,,,,,,,,,,,46,2026-04-27T15:36:37,,90.0,,,,,,
MIX_CYCLE,,,,,,,,,B3,100.0,,,60.0,,,,,1,,,,,,,47,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B3,100.0,,,60.0,,,,,2,,,,,,,48,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B3,100.0,,,60.0,,,,,3,,,,,,,49,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B3,100.0,,,60.0,,,,,4,,,,,,,50,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B3,100.0,,,60.0,,,,,5,,,,,,,51,2026-04-27T15:36:37,5,,,,,,,
DROP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,52,2026-04-27T15:36:37,,,,,,,,
SAMPLE_COMPLETE,B3,mixture(sample_3+water),,,,100.0,,,,,,,,,,,,,3,,,,,,53,2026-04-27T15:36:37,,,,,,,,
SAMPLE_START,B4,,,,,,,,,,,,,,,,,,4,A4,,,,,54,2026-04-27T15:36:37,,,C4,,,,,
PICK_UP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,55,2026-04-27T15:36:37,,,,,,,,
MOVE_TO,,,,,,,,,A4,,,,,,,,,,,,,,,,56,2026-04-27T15:36:37,,,,,37.0,10.0,6.0,1.0
ASPIRATE,,,,,,,5.0,sample_4,,,,,,,,,,,,,,A4,40.0,,57,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,B4,,,,,,,,,,,,,,,,58,2026-04-27T15:36:37,,,,,37.0,19.0,6.0,1.0
DISPENSE,B4,,sample_4,empty,10.0,,5.0,,,,,,,,,,,,,,,,,,59,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,C4,,,,,,,,,,,,,,,,60,2026-04-27T15:36:37,,,,,37.0,28.0,6.0,1.0
ASPIRATE,,,,,,,5.0,water,,,,,,,,,,,,,,C4,110.0,,61,2026-04-27T15:36:37,,90.0,,,,,,
MOVE_TO,,,,,,,,,B4,,,,,,,,,,,,,,,,62,2026-04-27T15:36:37,,,,,37.0,19.0,6.0,1.0
DISPENSE,B4,,mixture(sample_4+water),sample_4,100.0,,5.0,,,,,,,,,,,,,,,,,,63,2026-04-27T15:36:37,,90.0,,,,,,
MIX_CYCLE,,,,,,,,,B4,100.0,,,60.0,,,,,1,,,,,,,64,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B4,100.0,,,60.0,,,,,2,,,,,,,65,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B4,100.0,,,60.0,,,,,3,,,,,,,66,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B4,100.0,,,60.0,,,,,4,,,,,,,67,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B4,100.0,,,60.0,,,,,5,,,,,,,68,2026-04-27T15:36:37,5,,,,,,,
